delta/tao,2*tao = 10 ms,,,2*tao = 500 ms,,,
BER, 0, 0.00001, 0.0001, 0, 0.00001, 0.0001
2.5,954441,819956,235872,23877.1,20292.1,5617.69,
5.0,954441,735083,146169,23877.1,17743.8,3269.21,
7.5,954441,660106,104332,23877.1,15896,2284.01,
10,954441,599696,81064.8,23877.1,13869.9,1724.95,
12.5,954441,544753,66732.7,23877.1,12751.8,1441.22,
