delta/tao,2*tao = 10 ms,,,2*tao = 500 ms,,,
BER, 0, 0.00001, 0.0001, 0, 0.00001, 0.0001
2.5,1.19305e+06,1.05591e+06,344484,29846.4,26483.1,8604.49,
5.0,1.19305e+06,1.05697e+06,338767,29846.4,26371.9,8663.03,
7.5,1.19305e+06,1.05161e+06,348215,29846.4,26284.8,8537.27,
10,1.19305e+06,1.0572e+06,345830,29846.4,26459.6,8623.29,
12.5,1.19305e+06,1.05417e+06,344117,29846.4,26284.8,8505.79,
